# {"t_start": 1542744308.149929, "env_id": "HopperAdv-v1"} 
r,l,t
620.632068,192,2458.177586
607.268117,201,2459.528114
597.460412,197,2460.868809
715.240925,233,2462.510191
435.051148,147,2463.500494
609.465604,206,2464.912979
312.812891,123,2465.788929
581.201878,194,2467.04024
642.562614,208,2468.467206
602.670376,202,2524.209415
712.437446,227,2525.753342
537.134094,179,2526.903964
622.224265,210,2528.217014
855.17041,256,2529.903616
792.43395,246,2531.418939
579.906482,204,2532.670192
605.979229,204,2533.981579
615.285312,192,2535.186146
626.612526,208,2536.568666
527.990343,177,2595.691736
614.843663,198,2596.921812
613.704808,189,2598.159549
609.157346,205,2599.489745
