# {"t_start": 1542744412.5104127, "env_id": "HopperAdv-v1"} 
r,l,t
390.077946,144,496.933413
495.212858,187,497.714458
470.904418,165,498.318948
425.337849,160,498.951695
472.311888,174,499.60504
355.410984,140,500.155825
523.394862,173,500.835243
578.941368,196,501.61071
602.097928,204,507.509465
426.660153,162,508.105934
514.406803,177,508.800299
563.951078,192,509.52123
577.000277,193,510.252061
387.120509,152,510.854783
575.99175,199,511.568095
425.817382,157,512.148427
557.423917,185,512.818577
564.222498,186,513.5296
555.6773,197,514.251244
452.449387,165,519.584284
544.903098,183,520.290416
527.93708,179,520.953997
566.30678,183,521.644221
391.413406,154,522.206861
460.930042,155,522.856769
435.297302,152,523.452792
567.860207,190,524.225137
530.821643,178,524.910363
612.4818,211,525.754439
589.647266,198,526.482399
374.846328,137,526.986578
574.92007,200,536.371432
556.049388,187,537.111074
583.105895,200,537.927194
459.006996,155,538.540636
449.029061,156,539.105198
450.154009,158,539.720436
413.118579,147,540.283471
555.26891,189,541.009704
556.3473,187,541.736071
541.825936,187,542.416963
531.397728,184,543.0971
575.884851,199,548.756761
608.36645,200,549.591124
626.426838,205,550.421699
607.789753,206,551.22423
562.949076,197,552.017715
563.277217,194,552.812367
460.88238,163,553.475142
531.569947,185,554.176524
611.681614,199,554.939335
522.515033,178,555.599821
538.562818,181,556.252652
567.190932,193,562.412472
464.415787,165,563.103531
665.082127,214,564.037324
535.19376,178,564.757573
618.143316,199,565.513509
495.005457,172,566.167919
617.464921,208,566.924082
604.218747,204,567.722707
566.676629,193,568.433132
584.153378,201,569.272488
570.650288,191,569.987528
576.65614,195,575.810905
609.636625,201,576.605312
594.525914,196,577.403064
608.246459,203,578.141598
598.05225,191,578.869656
645.960059,218,579.704408
569.105321,191,580.447445
541.697623,192,581.15276
524.288777,177,581.84718
587.210158,199,582.616445
577.80779,196,588.764724
616.169548,202,589.558397
610.316785,202,590.312115
558.153558,188,591.004075
551.366549,179,591.629928
587.537228,189,592.35728
589.261821,195,593.071125
518.211968,186,593.780042
596.01838,197,594.541752
616.178391,205,595.329614
549.826958,189,596.042414
585.944239,199,601.80593
572.381628,194,602.561473
557.825653,187,603.250357
614.488923,207,604.089491
392.649916,150,604.709393
622.15216,203,605.505398
566.24614,183,606.210293
605.093724,200,606.918885
548.43441,185,607.651284
628.306868,209,608.411157
623.341125,207,614.742692
611.50239,202,615.552042
602.340221,206,616.386198
620.347882,208,617.221746
628.896237,208,618.040251
624.682948,208,618.868049
630.053385,209,619.699376
364.807959,136,620.194561
610.41004,206,620.971999
610.100016,211,621.77651
603.271925,202,627.679687
542.555972,177,628.384874
619.008221,206,629.152615
625.587118,208,629.990976
630.32415,210,630.877614
649.623959,216,631.733762
607.442348,203,632.462439
612.785989,204,633.27884
625.58443,207,634.045637
578.41512,201,634.797318
618.084426,208,635.507701
647.732511,216,641.793064
352.868314,137,642.326045
609.077357,206,643.085095
625.009623,206,643.948573
625.274994,215,644.814385
642.32219,216,645.630081
623.782882,209,646.465583
633.628789,211,647.328497
606.095331,201,648.178513
529.788101,175,648.858858
603.29504,202,654.67044
615.592399,209,655.476223
642.508831,212,656.292073
542.312951,183,656.973626
528.104255,177,657.665075
672.221787,222,658.550764
498.945071,168,659.225995
565.930815,187,659.947475
548.236309,185,660.604543
520.099726,172,661.321778
547.805606,179,661.969398
665.203842,220,671.540235
656.091901,216,672.361048
624.24885,210,673.13552
646.282671,213,673.98049
627.271522,218,674.808635
640.556992,212,675.61883
387.642107,144,676.163881
634.076528,209,676.977311
505.318757,171,677.702814
634.425499,205,678.506472
511.859793,173,684.314402
616.350531,205,685.144396
597.832254,189,685.910168
644.644693,215,686.744915
605.46801,202,687.550057
589.402366,191,688.302511
652.488434,214,689.141484
622.07247,205,689.899469
621.464562,204,690.691536
560.766272,179,691.363363
701.483306,228,697.404225
644.562728,215,698.221346
629.987579,208,698.971517
617.813508,208,699.748444
574.098773,191,700.471488
601.816008,199,701.241753
603.224866,200,702.033196
638.913134,208,702.851194
625.61764,213,703.720702
623.739536,207,704.528305
631.941284,208,710.251857
658.310195,218,711.072186
396.210911,146,711.688827
628.930739,211,712.488883
657.342095,217,713.356052
626.300812,204,714.108193
505.203592,172,714.742583
427.867478,157,715.330911
480.10825,165,715.975132
579.802714,190,716.649849
629.986331,205,717.403554
617.288803,202,723.924952
644.012515,215,724.747513
651.396273,209,725.538223
629.85874,207,726.344428
650.620394,219,727.191209
655.491182,214,728.030511
548.602178,184,728.789123
615.300661,208,729.636045
641.776717,210,730.447798
530.741547,182,731.15573
468.392688,163,736.831031
568.943105,188,737.615149
584.826408,196,738.38371
636.67214,212,739.183727
